eventName,blockNumber,txHash,logIndex,validatorId,delegator,withdrawId,amountMON,activationEpoch
Undelegate,70205000,0xa4ff81504ec81087e7d1ff5bf32971cf3bfbbc5d192758598d63a9796f2c3f8c,28,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,69,485.795564475417781176,1406
Undelegate,70605000,0xb85f122ca65618026ec1d4da07f27ad127351b2abe0bb432093ebc8a90223543,25,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,70,5655.906115991739161041,1414
Undelegate,70655002,0xf7e8fb4806abc25eef9d7a0f2e40a1a1e6b27ecf8a7ed530b54ab741e299aa70,23,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,71,5649.917848750135718337,1415
Undelegate,70705000,0x8e1f301b449c8fadd656b92efec6c641c0cd070e4becaef1bbfc8c782a88dba1,38,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,72,5642.855451439198048689,1416
Undelegate,70754999,0x57f5a93b180ee4957ae69cf56f3b20fdcca124ee22c2eed3b81548bb78e1d502,42,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,73,4293.097386340305323498,1417
Undelegate,70770776,0xdd3d98e2db9062c1548a7f892cfa10571c59a8c90d4b6c2721b08ea473d9252a,132,154,0x68227B00bcF55eaA0E3b11627ae5E19821A6538a,1,1000.0,1417
Undelegate,70955001,0xcec0bc0be24716df33c6619d5984d5275b07428094b477c5071bf06bd4ec9d71,26,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,74,2486.11277450227581764,1421
Undelegate,71004999,0x6d9f59da2db6ad9494a40305305f837b9a755b8f7001bd5e7726781e3ae724b8,24,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,75,79801.845513110206829134,1422
Undelegate,71055000,0xfa7464c9a726e77c37ca54d499f99f3d52c8568834f30935b5d89a7a7eb3c976,37,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,76,5565.581876080207659745,1423
Undelegate,71105000,0xe98c70003863b066e48bb6de0ac2235a3f5e17de038da591525a94e20b378998,69,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,77,1675.234741384532558874,1424
Undelegate,71155000,0xfc93c4baef6e3b780de3e60d31ee68871c32228683afaca05ebdd1b63ecd1c02,39,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,78,86.80129603804302557,1425
Undelegate,71255000,0xa90e596852801421ce95eac103ac15e01d1b1d5b6bd142a36deca73a67ff7b87,33,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,79,70015.576966149168302315,1427
Undelegate,71305001,0x5ae2cf76b9765609984aef18cf4181855e6f269bbefcf7880db057817680cd89,33,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,80,2820.556325907744961729,1428
Undelegate,71355002,0x17fcbffc253e961845cdac8d8439a48f985831b008141ba145db827cf070226f,39,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,81,44.694758427506206715,1429
Undelegate,71593718,0x2bd076c14aadfb784eb10c63ada8b30ce8c755746caddafa51d05472c0586343,7,154,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,5,35555.0,1433
Undelegate,71705001,0x37494fb6a724b7937f163a2f2864b2c88760f84470b07e79b9248ad4fa6a1b02,29,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,82,45945.081575127271247402,1436
Undelegate,71708306,0x37b26282a4cb1a7b2ff875a2de52a92dd05dcd24dbcbc37052fbc8ff63cedbc4,29,154,0xEfD29dcdebAF24E9C7aFA52b8537f316EF55c204,5,1000.0,1436
Undelegate,71905000,0x2e4face8cf71a168bd7ed9c6d02aded27cd5f9c0d4fab5c000660b516f3f12e4,29,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,83,5233.363146450369033086,1440
Undelegate,72005001,0xc6b48306bfd1459f31021d36663dde620003465086cf43f262c426a9ffebb68a,39,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,84,900.790518635008710956,1442
