eventName,blockNumber,txHash,logIndex,validatorId,delegator,amountMON,activationEpoch
Delegate,68292324,0x41fc58edde44d9e233b2f2f1049045babf3e912916fbb6899f4d6cd8b4825f0c,1,154,0x557758ec7Fd3C7E8C1A6B5b42f15AC6B82891f18,11450.0,1367
Delegate,68305000,0xb4bac1a577b64461a0249781ec836d7652aed45724c747ceff7730eab7694a09,98,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,2776.823275458949237971,1368
Delegate,68347571,0x25828607bbc142fc3ac2f6fc74884ba8e3a5eac8f9a1026d30b40bbac56c57bf,107,154,0xb8A360D7c8CC9831401A0f51f8BD468390172a87,38.753012841830674257,1368
Delegate,68364946,0xd4fd069c85a074e86972e60e75f0bd221a121bcae08eaaf61d5cdba3d2100d0f,25,154,0x730dE66b155477858E6b2f4Cd6Ac4AC9FbF73929,30.0,1369
Delegate,68372974,0x2f9e9474c0f932a3f984ce8f770d6d4f7bf2d7740be407624587c6008acaa9e7,6,154,0x557758ec7Fd3C7E8C1A6B5b42f15AC6B82891f18,67650.0,1369
Delegate,68381960,0x539fd32ad82c48fe14dbf5d7e80bf4ff00260b64261880ee14c3f3aa2cf2be09,118,154,0xF91eADd30c0e8Ab39a6941BeAA79d80Ac4686BA3,6180.0,1369
Delegate,68405983,0xf8cfa3e168c2e36c40821044a23d8bed92195dfe2bf82d05637daaaedacf8681,118,154,0xB4dff2c9b4DB343eD94FB9bf4788bCbD59D101B7,21.685786860836104285,1370
Delegate,68449672,0x5e4ea7cf5c82014cad4779697ea5e4b18c03150828dd946aaf51e8d9e33c7d57,1,154,0x6bd8825b253855a4CfaAEF8FE69D1453C06bF569,163.0,1370
Delegate,68455001,0x64b1d87daca24667699d4394f22e88ada5b2f8217bba470ae6e0e20416e7efdb,43,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,4260.350799448513132271,1371
Delegate,68482775,0x4e8f653e6385ffb4176b5cac6653fa67788f17feec6c4a6ac79f4cf4f76baf82,6,154,0xEb0a0E981202428600C013897C7571C64107e92D,0.164505471032341803,1371
Delegate,68505001,0x183363b922fdc6a8d5e87b45332d77876fddff4907d60b11b9f7f75f367be356,74,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,10223.84507467888975277,1372
Delegate,68538666,0xeb657dfddf6e71e5fc4a48a3794923ec03d72e57b0a64acb72dbb844f46bfd71,13,154,0xEb0a0E981202428600C013897C7571C64107e92D,0.023298881638523013,1372
Delegate,68548996,0xd9dee4d4dce6f7e3ed4b0aa82a5604f815f66ad012f7cef39a10f2c8f49694ad,5,154,0x9750A6F0a1220a09B122e267D6484bc1F0e8f798,1550.0,1372
Delegate,68590963,0x4693bf7ed1c3ce0ebb6f08f1f8bebfbaaab49e5a6db27ab9d0ceef7b795299ae,29,154,0x2598CD5553De991eB8E948e7400C02814f529c01,2922.284311232720206303,1373
Delegate,68609964,0x92261ca7f8385b286c6ab631490f821cf0ffbb7b2cd3cdb8de0ce94ebef0c65b,84,154,0x3496A0Da043108Ec81022ebEcced3D0cf821A58D,5.590735324448433722,1374
